flight_number,week_number,booked_passengers,schedule_id
1,1,NULL,1
2,2,NULL,1
3,3,NULL,1
4,4,NULL,1
5,5,NULL,1
6,6,NULL,1
7,7,NULL,1
8,8,NULL,1
9,9,NULL,1
10,10,NULL,1
11,11,NULL,1
12,12,NULL,1
13,13,NULL,1
14,14,NULL,1
15,15,NULL,1
16,16,NULL,1
17,17,NULL,1
18,18,NULL,1
19,19,NULL,1
20,20,NULL,1
21,21,NULL,1
22,22,NULL,1
23,23,NULL,1
24,24,NULL,1
25,25,NULL,1
26,26,NULL,1
27,27,NULL,1
28,28,NULL,1
29,29,NULL,1
30,30,NULL,1
31,31,NULL,1
32,32,NULL,1
33,33,NULL,1
34,34,NULL,1
35,35,NULL,1
36,36,NULL,1
37,37,NULL,1
38,38,NULL,1
39,39,NULL,1
40,40,NULL,1
41,41,NULL,1
42,42,NULL,1
43,43,NULL,1
44,44,NULL,1
45,45,NULL,1
46,46,NULL,1
47,47,NULL,1
48,48,NULL,1
49,49,NULL,1
50,50,NULL,1
51,51,NULL,1
52,52,NULL,1
53,1,NULL,2
54,2,NULL,2
55,3,NULL,2
56,4,NULL,2
57,5,NULL,2
58,6,NULL,2
59,7,NULL,2
60,8,NULL,2
61,9,NULL,2
62,10,NULL,2
63,11,NULL,2
64,12,NULL,2
65,13,NULL,2
66,14,NULL,2
67,15,NULL,2
68,16,NULL,2
69,17,NULL,2
70,18,NULL,2
71,19,NULL,2
72,20,NULL,2
73,21,NULL,2
74,22,NULL,2
75,23,NULL,2
76,24,NULL,2
77,25,NULL,2
78,26,NULL,2
79,27,NULL,2
80,28,NULL,2
81,29,NULL,2
82,30,NULL,2
83,31,NULL,2
84,32,NULL,2
85,33,NULL,2
86,34,NULL,2
87,35,NULL,2
88,36,NULL,2
89,37,NULL,2
90,38,NULL,2
91,39,NULL,2
92,40,NULL,2
93,41,NULL,2
94,42,NULL,2
95,43,NULL,2
96,44,NULL,2
97,45,NULL,2
98,46,NULL,2
99,47,NULL,2
100,48,NULL,2
101,49,NULL,2
102,50,NULL,2
103,51,NULL,2
104,52,NULL,2
105,1,NULL,3
106,2,NULL,3
107,3,NULL,3
108,4,NULL,3
109,5,NULL,3
110,6,NULL,3
111,7,NULL,3
112,8,NULL,3
113,9,NULL,3
114,10,NULL,3
115,11,NULL,3
116,12,NULL,3
117,13,NULL,3
118,14,NULL,3
119,15,NULL,3
120,16,NULL,3
121,17,NULL,3
122,18,NULL,3
123,19,NULL,3
124,20,NULL,3
125,21,NULL,3
126,22,NULL,3
127,23,NULL,3
128,24,NULL,3
129,25,NULL,3
130,26,NULL,3
131,27,NULL,3
132,28,NULL,3
133,29,NULL,3
134,30,NULL,3
135,31,NULL,3
136,32,NULL,3
137,33,NULL,3
138,34,NULL,3
139,35,NULL,3
140,36,NULL,3
141,37,NULL,3
142,38,NULL,3
143,39,NULL,3
144,40,NULL,3
145,41,NULL,3
146,42,NULL,3
147,43,NULL,3
148,44,NULL,3
149,45,NULL,3
150,46,NULL,3
151,47,NULL,3
152,48,NULL,3
153,49,NULL,3
154,50,NULL,3
155,51,NULL,3
156,52,NULL,3
157,1,NULL,4
158,2,NULL,4
159,3,NULL,4
160,4,NULL,4
161,5,NULL,4
162,6,NULL,4
163,7,NULL,4
164,8,NULL,4
165,9,NULL,4
166,10,NULL,4
167,11,NULL,4
168,12,NULL,4
169,13,NULL,4
170,14,NULL,4
171,15,NULL,4
172,16,NULL,4
173,17,NULL,4
174,18,NULL,4
175,19,NULL,4
176,20,NULL,4
177,21,NULL,4
178,22,NULL,4
179,23,NULL,4
180,24,NULL,4
181,25,NULL,4
182,26,NULL,4
183,27,NULL,4
184,28,NULL,4
185,29,NULL,4
186,30,NULL,4
187,31,NULL,4
188,32,NULL,4
189,33,NULL,4
190,34,NULL,4
191,35,NULL,4
192,36,NULL,4
193,37,NULL,4
194,38,NULL,4
195,39,NULL,4
196,40,NULL,4
197,41,NULL,4
198,42,NULL,4
199,43,NULL,4
200,44,NULL,4
201,45,NULL,4
202,46,NULL,4
203,47,NULL,4
204,48,NULL,4
205,49,NULL,4
206,50,NULL,4
207,51,NULL,4
208,52,NULL,4
